section,check,ticker,column,issue_count,trading_day_count,first_date,last_date,min_value,max_value,notes
summary,dataset_rows,,,25723,3162,2014-01-01,2026-07-01,,,unique_tickers=10
coverage,trading_day_count,1120.SR,,0,3162,2014-01-01,2026-07-01,,,
coverage,trading_day_count,1150.SR,,0,3162,2014-01-01,2026-07-01,,,
coverage,trading_day_count,1180.SR,,0,2937,2014-11-12,2026-07-01,,,
coverage,trading_day_count,1211.SR,,0,3151,2014-01-01,2026-07-01,,,
coverage,trading_day_count,2010.SR,,0,3150,2014-01-01,2026-07-01,,,
coverage,trading_day_count,2082.SR,,0,1132,2021-12-19,2026-07-01,,,
coverage,trading_day_count,2222.SR,,0,1638,2019-12-11,2026-07-01,,,
coverage,trading_day_count,2380.SR,,0,3151,2014-01-01,2026-07-01,,,
coverage,trading_day_count,7010.SR,,0,3152,2014-01-01,2026-07-01,,,
coverage,trading_day_count,7203.SR,,0,1088,2022-02-16,2026-07-01,,,
missing_values,missing_values,,date,0,,,,,,
missing_values,missing_values,,ticker,0,,,,,,
missing_values,missing_values,,open,0,,,,,,
missing_values,missing_values,,high,0,,,,,,
missing_values,missing_values,,low,0,,,,,,
missing_values,missing_values,,close,0,,,,,,
missing_values,missing_values,,volume,0,,,,,,
missing_values,missing_values,,traded_value,0,,,,,,
price_integrity,price_less_or_equal_zero,,open,0,,,,4.9031,1286.0,
price_integrity,price_less_or_equal_zero,,high,0,,,,5.3234,1289.0,
price_integrity,price_less_or_equal_zero,,low,0,,,,4.9031,1235.0,
price_integrity,price_less_or_equal_zero,,close,0,,,,5.2674,1260.0,
price_integrity,high_less_than_low,,,0,,,,,,
price_integrity,open_outside_high_low,,,0,,,,,,
price_integrity,close_outside_high_low,,,1,,2016-02-21,2016-02-21,,,
duplicates,duplicate_date_ticker,,,0,,,,,,
returns,suspicious_daily_return,,,5,,2014-11-17,2023-06-11,-0.341695,0.510912,threshold=+/-15.00%
returns,suspicious_daily_return_by_ticker,1180.SR,,1,,2014-11-17,2014-11-17,0.202765,0.202765,threshold=+/-15.00%
returns,suspicious_daily_return_by_ticker,1211.SR,,2,,2023-06-08,2023-06-11,-0.341695,0.510912,threshold=+/-15.00%
returns,suspicious_daily_return_by_ticker,2082.SR,,1,,2022-04-05,2022-04-05,0.209722,0.209722,threshold=+/-15.00%
returns,suspicious_daily_return_by_ticker,7203.SR,,1,,2022-02-17,2022-02-17,0.1875,0.1875,threshold=+/-15.00%
